"ID","DA_ID","CENSORED","COMMENT","TITLE_JP","TITLE_ROMA","TITLE_DA","PUBLISHER","AUTHOR","AUTHOR_ROMA","AUTHOR_CN","DATE","DATE_DA","LINK_JP","LINK_PUBLISHER","LINK_CN","EH","UPLOADER","SOURCE","QUOTE"
1,DAV-001,NO,"日本成人漫畫雜誌《Comic 快樂天》超人氣新銳作家 幾花丹色
第一本個人漫畫作品集！
收錄九篇漫畫短篇，真實描繪現代男女的性態，
因寂寞而相濡以沬，男歡女愛的激情模樣。
特別推出無修正版本，讓人臉紅心跳的情愛畫面，
挑逗讀者每個敏感的神經與感官。
 
心儀的女神在旅館解放的另一面癡態、
網聚後零距離的汽車性愛、
從咖啡廳的美麗邂逅演變成征服巨乳的契機、
與半同居辣妹的大膽騎乘位、
用性愛征服童顏女友的芳心、
神秘美女誘惑的美臀背後姿、
從同事之間的情傷諮詢到直接在包廂相擁求歡…
超真實性態不斷撩撥你的想像。
  
【收錄作品】
發火、咬合、視野、寄邊、燦爛、演色、聞香、白貓、引鐵",幾日,Ikujitsu,幾日,ワニマガジン社 ,幾花にいろ,Ikuhana Niiro,幾花丹色,2018-05-25,2018-06-25,https://www.dlsite.com/books/work/=/product_id/BJ151861.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=258,https://www.dlsite.com/books/work/=/product_id/BJ277811.html,https://exhentai.org/g/1989053/58ec27a544/,alfredmeow && 虚言卿,BW,疑似截图
2,DAV-002,NO,"『COMIC快樂天』的貴公子・HOMUNCULUS首本單行本！

滋潤少女的內心並濕潤她們的私密，令人心跳加速的短篇集。

以超害羞的女朋友變得淫亂為開題，
同時收錄描繪浴室裡各種令人興奮場景的「Bathtub Crisis」、
與兩位美少女同住一個屋簷下、享受三人世界「同居人」等
將出道以來的所有作品毫無遺漏的全數收錄其中，是療癒疲憊的你最好的選擇！",はじらいブレイク,Hajirai Break,破・廉恥,ワニマガジン社 ,ホムンクルス,HOMUNCULUS,人造人,2012-05-28,2019-08-21,https://www.dlsite.com/books/work/=/product_id/BJ014626.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=310,https://www.dlsite.com/books/work/=/product_id/BJ277812.html,https://exhentai.org/g/1686888/41309da5e5/,Yu Yu Chen,新視界,
3,DAV-003,NO,"『COMIC快樂天』的貴公子・HOMUNCULUS眾所期望的單行本第2集！

溫柔擁抱為相思所苦的少女、以肢體訴說愛意的短篇集。

內容收錄
與未見過面的美少女的性交實驗的「戀愛範本」、
被即將結婚的堂姐推倒的「夏日野獸」等作品，
大量投入了讓身體由裡到外燃燒起來的興奮劑。
業界頂端的繪師盡情投入熱情、最精彩的一冊！",レンアイサンプル,Renai Sample,戀愛樣本,ワニマガジン社 ,ホムンクルス,HOMUNCULUS,人造人,2014-06-07,2019-08-21,https://www.dlsite.com/books/work/=/product_id/BJ039603.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=311,https://www.dlsite.com/books/work/=/product_id/BJ277813.html,https://exhentai.org/g/1787202/12879a3577/,GreenT1a,新視界,
4,DAV-004,NO,"在成人漫畫雜誌『COMIC快樂天』連載，少女們酸中帶甜的戀愛及大膽積極的性愛故事

獲得廣大支持的HOMUNCULUS(ホムンクルス)老師暌違五年的最新作品！

收錄：
與來自異國的少女陷入命運之戀的標題作品「求愛異鄉人」
因不可思議力量石頭，一靠近就陷入發情狀態的「結戀奇談」
與專情的金髮女僕的同居生活「YES，My Darling」
等等連載於『COMIC快樂天』的人氣作品。
另外，本書也同時追加收錄各作品的彩色短篇小故事。",求愛エトランゼ,Kyuuai Etranger,求愛異鄉人,ワニマガジン社 ,ホムンクルス,HOMUNCULUS,人造人,2019-08-07,2019-08-21,https://www.dlsite.com/books/work/=/product_id/BJ205609.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=312,https://www.dlsite.com/books/work/=/product_id/BJ277814.html,https://exhentai.org/g/1935402/80f170a76e/,K4W1H0R53,未來數位DL,自购
5,DAV-005,NO,"日本成人漫畫雜誌《Comic 快樂天》最受注目作家 藤丸 第一本個人漫畫作品集！
收錄 藤丸 最具代表性的作品〈Love is a Battlefield〉系列與8篇漫畫短篇，共計11篇漫畫

 
以獨特的說故事方式為成人漫畫增添了清新健康的純愛感覺
封面書衣以六色印刷，雙書衣包裝，完整保留日文原版封面的感覺
特別推出無修正版本，可一覽無遺每一個讓人臉紅心跳的情愛畫面

每次回鄉就不斷與好色的青梅竹馬做個不停、
謊稱自己最好的朋友不愛處女而獲得迷戀上好友的女孩們一親芳澤破處的機會、
有著完美男友與姣好外貌的女孩卻因為窮困而進行金錢交易的肉體關係、
謠傳自動物園逃脫出來的灰熊體內有著專門榨乾男性精力的熊耳娘、
年近40歲的單身男子與便利超商女店員的愛情邂逅、
超商店長身陷在魔性女店員性感肉體的桃色誘惑、
暗自躲在咖啡廳使用心儀店長的衣服自慰的女服務生、
在海水淹沒大地的世界為了戀人每年回來的少女……

8篇描繪色氣女孩們的情慾奇想。
加上代表作〈Love is a Battlefield〉系列，
講述晚熟的偶像歌手阿巧與美女經紀人菫小姐兩人的愛情故事，
一個是滿腦子想要擺脫童貞的草食處男，
另一個是想以自負的豪乳身材幫助帶的藝人脫離童貞的積極女孩，
從珍惜彼此開始的一段有些色氣卻又意外純情的戀情。",ラブミーテンダー,Love Me Tender,Love me tender -溫柔地愛著我,ワニマガジン社 ,藤丸,Fujimaru,藤丸,2018-04-14,2020-06-25,https://www.dlsite.com/books/work/=/product_id/BJ143125.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=376,https://www.dlsite.com/books/work/=/product_id/BJ277815.html,,,,
6,DAV-006,NO,"日本成人漫畫雜誌《Comic 快樂天》最受注目作家 藤丸 第二本個人漫畫作品集！
自初作品集《Love me tender》以後，藤丸打造全新敘事感的情色漫畫傑作！

 
挑戰了成人漫畫不僅富有色氣，也可以闡述更多「非日常的日常」奇想於其中
以11篇漫畫短篇形式讓看似沒關聯性的故事共同呈現一個近未來的世界觀
輕描淡寫了全球海平面上升的一個末世光景
在難以生存的世界中努力過日的人們充滿著許多色氣的日常生活
封面書衣以五色印刷，雙書衣包裝，完整保留日文原版封面的感覺
特別推出無修正版本，可一覽無遺每一個讓人臉紅心跳的情愛畫面


兩小無猜的笨蛋情侶甜蜜的幸福性愛、
用肉體療癒漁會大叔們慾求的大奶妹子、
為了心愛之人將貧乳發育成巨乳的鄰家女孩、
為了研發治療全人類不孕症而中出做愛的知性女學者、
即將離鄉背井的內向女孩把第一次獻給長期照顧自己的車掌大叔、
在市郊兜售水果卻因性感成熟的甜美身材屢屢遭顧客玩弄的蔬果店老闆娘、
經營不善的牧場牛兒幻化成豐滿女子前來獻身向主人報恩、
以超高球技讓輸球男子願賭服輸進行交媾的網球女孩、
受金絲雀牽引邂逅的男女探索彼此的性愛衝動、
被陌生男子拯救脫困且以肉償報恩的女子人造人、
在海水淹沒大地的世界為了戀人每年回來的少女……

11篇充滿愛慾卻富有清新純愛感的故事，串聯成一個甜蜜又苦澀的恆久愛戀。

本書與《Love me tender》之中的〈8月之燈〉有著非常密切的關係，
不僅延續了紗和與阿廣兩人的故事，也讓大家看見身處那樣的未來世界之中，
人們依然充滿活力地享受著性愛的幸福生活！",ユアソング,Your Song,Your Song -屬於你的歌-,ワニマガジン社 ,藤丸,Fujimaru,藤丸,2020-01-27,2020-06-25,https://www.dlsite.com/books/work/=/product_id/BJ226767.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=377,https://www.dlsite.com/books/work/=/product_id/BJ277816.html,https://exhentai.org/g/1573813/94fd6f2323/,鬼畜王汉化组,日版DL,
7,DAV-007,NO,"日本成人漫畫雜誌《Comic 快樂天》
新興崛起的漫畫新銳 佐久間司 第一本作品集！

 
9位對性充滿興趣的好色女孩們

與抱有好感的男性進一步親熱的色氣故事
如同9顆染上粉紅色色彩的甜美桃色水果糖

從書中散落成繽紛的可口寶石


封面書衣以五色印刷，雙書衣包裝，

完整保留日文原版封面的感覺


特別推出無修正版本，

可一覽無遺每位女孩讓人臉紅心跳的情愛畫面

壓抑著情慾衝動探望生病男友的女孩、

趁著酒意以巨乳色誘著家中寄宿房客的女子OL、

失戀的女子情不自禁地愛慕上幫自己解圍性騷擾的溫柔男子、

聽聞自己最愛的男生要結婚而展開大膽行動的女孩、

透過聯誼聚會的摩擦更瞭解彼此心意而欲獻身的女性、

角色扮演的人妻在久違參加的展售會中被挑起了慾火、

被心儀的男孩發現自己不斷偷翻他畫的成人漫畫進而奮不顧身的積極進攻、

幫忙加班收拾可愛的男同事闖的禍並且順勢推倒的職場風流性事、

奇幻的邂逅產生人與狐仙的愛戀……

9篇敏感好色的女孩與心儀男孩們沉溺於甜蜜性愛的故事。",桃色ドロップ,Momoiro Drop - sweet drop candy,桃色水果糖,ワニマガジン社 ,さくま司,Sakuma Tsukasa,佐久間司,2020-07-08,2020-08-27,https://www.dlsite.com/books/work/=/product_id/BJ247453.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=391,https://www.dlsite.com/books/work/=/product_id/BJ277817.html,https://exhentai.org/g/1640410/d225f0b5ad/,K4W1H0R53,BW,截图
8,DAV-008,NO,"日本成人漫畫雜誌《Comic 快樂天》
描繪口舌水沫讓人高度期待的漫畫家
翁賀馬乃助 的初作品集！

仔細將女性們吸允陽具的癡樣詮釋出異常色氣感，
創造富有淫亂氛圍的性愛畫面

9篇絕對實用主義的短篇，並且特別於雜誌連載內容以外，
全新加畫總計60頁全新續篇故事內容！
封面書衣以五色印刷，雙書衣包裝，
完整保留日文原版封面的感覺

特別推出無修正版本，可一覽無遺每位女孩讓人臉紅心跳的情愛畫面

外牆施工的修繕師傅不小心窺視到欲求不滿的護士小姐、
音樂祭邂逅的男女又在其他演唱會不期而遇點燃慾火、
房仲從業人員與忘記帶鑰匙的租屋小姐兩人共度一晚春宵、
兩位社會新鮮人的求職之路演變成香辣刺激的求歡之夜、
網路交流的畫友初次會面的寫生郊遊意外地成為一夜情的開端、
幫家裡販酒的女孩與在居酒屋工作的廚師兩人以品酒一觸即發的激情、
以田徑隊的前輩與晚輩引起偷嚐禁果的色氣情愛、
喜歡吃掉處男的失婚女積極向羞澀保有處子之身的男生展開攻勢……，
9篇超激烈的性愛，充滿著口舌交纏的激情，
單行本特別加畫了雜誌連載以外總計60頁的全新續篇故事！",粘膜,Nenmaku,黏膜,ワニマガジン社 ,翁賀馬乃助,Okinaga Umanosuke,翁賀馬乃助,2020-07-15,2020-08-27,https://www.dlsite.com/books/work/=/product_id/BJ247454.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=392,https://www.dlsite.com/books/work/=/product_id/BJ277818.html,https://exhentai.org/g/1972244/f1472d0078/,qq3870990/究極邊緣人,未來數位DL,
9,DAV-009,NO,"以純愛情愫描繪男孩女孩們青春的邂逅、
曖昧與誤解等美好戀情的成人漫畫新銳 雲吞芽央，
自日本成人漫畫雜誌《Comic 快樂天》刊載作品以來，
深受讀者們好評與期待，終於推出個人第一本作品集《歡迎回家》！

本書收錄10篇短篇成人漫畫，並且於雜誌連載內容以外，
特別追加修正繪畫近100頁畫稿！

封面書衣以五色印刷，雙書衣包裝，完整保留日文原版封面的感覺
特別推出無修正版本，可一覽無遺每位女孩讓人臉紅心跳的情愛畫面

「我回來了！」「歡迎回家！」遠距離戀愛的兩人小別勝新婚地從進門的問候開始了甜蜜的一晚、不想被大家討厭而成為時常被男生們毛手毛腳的豪放女與看不慣她被性騷擾的正經男在解開誤會以後的兩人共度了一晚春宵、縝密規劃約會的認真男按照導航開車載著心儀女孩卻在山上迷路而展開的車震性愛、笨手笨腳的藥妝店女藥師以看貓為藉口讓平常照顧自己的幹練男店員來到家中的一段悶騷情緣、在尋覓夫婿的單身潛水女教練遇見了在旅行途中想要有一段美麗邂逅的單身男所引起的色氣情愛、突然發現男友攝取食物會影響精液味道的女孩開始了個人色氣滿點的自由研究計畫、休假在家叫外送小妹的店長卻意外地叫到自己店內的工讀生妹妹上門既尷尬又刺激的慾火時間、穿著暴露引起許多男生偷窺的帥氣應援團女孩為了安撫引起妒心的男友大膽的獻身做愛、青梅竹馬的三人在成年的結業式用屬於他們的方式一起創造了最美好的畢業回憶、工作過勞離開城市旅行的男孩遇見了童顏巨乳的可愛女孩不期而遇的結伴而行意外地成為一夜情的開端……，10篇溫柔又甜美的性愛，化為他們青春的一頁篇章。",おかえり,Okaeri - welcome home,歡迎回家,ワニマガジン社 ,雲呑めお,Wantan Meo,雲吞芽央,2020-07-28,2020-10-15,https://www.dlsite.com/books/work/=/product_id/BJ250654.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=410,https://www.dlsite.com/books/work/=/product_id/BJ277819.html,https://exhentai.org/g/1990403/4e5572f74f/,K4W1H0R53,BW,截图
10,DAV-010,NO,"無論是背德的偷情關係、相愛的戀人、或是有著淡淡情愫的兩人，
為了避免出糗感到丟臉與不好意思的模樣，為了避開說錯話造成雙方氣氛尷尬，
極盡所能地察言觀色，避免帶給他人困擾，成為彼此坦誠相見的阻礙。
以輕巧的筆觸描繪出男女之間那段曖昧不明的糾結情感，
日本成人漫畫雜誌《Comic 快樂天》大人氣成人漫畫家三十郎（さんじゅうろう）兩本個人單行本一次推出！
1st單行本《點心時間》收錄12篇短篇成人漫畫，為三十郎特別精心打造而成的處女作單行本！
封面書衣以五色印刷，雙書衣包裝，完整保留日文原版封面的感覺
特別推出無修正版本，可一覽無遺每位女孩讓人臉紅心跳的情愛畫面
※本書為18禁限制級內容，18歲以下不宜閱讀與購買

睡姦、體味癖、暴露狂、雙性戀……，有著不為人知的輕度異常性癖，為了避免被對方討厭，竭力所能隱蔽的人們，有著一臉清純可愛的臉龐，卻意外地有著截然不同的癡淫面貌，在禁忌的情慾刺激催化之下，突破了尷尬、害羞、臉紅心跳的氛圍，各式各樣的汗腺與體液的噴發，散發出濃郁的牝氣味，一部兼具純情甜美與濕鹹重口味的反差萌感視覺饗宴！",おやつの時間,Oyatsu no Jikan - Would you like to taste my body?,點心時間,ワニマガジン社 ,さんじゅうろう,Sanjuurou,三十郎,2018-03-30,2020-12-10,https://www.dlsite.com/books/work/=/product_id/BJ143127.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=419,https://www.dlsite.com/books/work/=/product_id/BJ277820.html,https://exhentai.org/g/1977761/9b57719ee7/,alfredmeow && 虚言卿,BW,疑似截图
11,DAV-011,NO,"以柔軟的筆觸描繪出男女情感曖昧不明的情緒
透過畫紙讓觀者感受到女子發情氣味的成人漫畫家三十郎（さんじゅうろう）
在1st單行本《點心時間》獲得巨大迴響以後，耗費兩年時間的全新創作──2nd單行本《祕密x祕密》！
這次特別著眼在日常生活裡面潛藏的異色光景，將更進一步的探討社會裡藏匿著背德的男歡女愛
讓人不禁懷疑自己身旁的清純女孩是否也有不為人知的禁斷祕密呢？
日本成人漫畫雜誌《Comic 快樂天》大人氣成人漫畫家三十郎（さんじゅうろう）兩本個人單行本一次推出！
2nd單行本《祕密x祕密》收錄7篇短篇成人漫畫，充滿著不可告人關係的第二本單行本！
封面書衣以五色印刷，雙書衣包裝，完整保留日文原版封面的感覺
特別推出無修正版本，可一覽無遺每位女孩讓人臉紅心跳的情愛畫面
※本書為18禁限制級內容，18歲以下不宜閱讀與購買

日常生活底下隱藏了許多不為人知的祕密，沒有過度縱慾卻大幅減少了保險套用量的愛侶、叫外送服務的男孩與從事外送服務的女孩有著意外的神祕關聯性、為了守護父親的店而努力償還債務的正直女孩不得不與多金社長展開一場金錢約會、被撞見不倫戀的女子大學生為了遮口採取了大膽的舉動、跟偶遇的前男友訴苦現在交往的困擾而情不自禁的OL、推著嬰兒車在四下無人的公園慢慢撩起了裙擺將手伸進私處的人妻、時常刁難男下屬的高傲女主管實際上私底下有截然不同的樣子，七篇揭開女孩子們偷偷掩蓋著禁斷背德情慾的異常光景！",シークレット×シークレット,Secret x Secret - Keep it a Secret Promise,秘密x秘密,ワニマガジン社 ,さんじゅうろう,Sanjuurou,三十郎,2020-07-22,2020-12-10,https://www.dlsite.com/books/work/=/product_id/BJ247455.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=420,https://www.dlsite.com/books/work/=/product_id/BJ277821.html,https://exhentai.org/g/1646859/070e8745cb/,鬼畜王汉化组,日版DL汉化,
12,DAV-012,NO,"被讚譽為『COMIC快樂天的賢才』的日本頂尖成人漫畫家Hamao四本個人單行本一次推出！
《閃亮亮》充滿著與外表模樣截然不同的閃亮女孩們以滿滿的勇氣展現令人臉紅心跳的一面！
無論是佯裝天真、製造麻煩、虧欠回饋、說謊欺騙、惡口使壞……等微妙的手法
都充滿著愉悅的心情與男生們做個不停的大膽行徑
讓人不禁想像著生活周遭的女孩子們是否也暗藏如此率直放蕩的一面呢？
《閃亮亮》收錄了Hamao 2013年至2014年兩年間的漫畫創作
並且特別收錄2012年刊載在『MOTMILK』雜誌的短篇作品〈sincerely affection〉
以及為單行本發行繪製的〈姊妹颱風〉續篇〈姊妹颱風+〉共計14篇短篇成人作品
封面書衣以五色印刷，雙書衣包裝，完整保留日文原版封面的感覺
特別推出無修正版本，可一覽無遺每位女孩讓人臉紅心跳的情愛畫面
※本書為18禁限制級內容，18歲以下不宜閱讀與購買

害人受傷抱持歉意地獻出青澀的肉體、暗自為心儀男孩努力卻佯裝開放不在意的樣子、偽裝年幼一起入浴的天真感而在浴池赤裸著身子、謊稱去朋友家過夜而跟男生深夜獨處、不斷給人帶來麻煩的小惡魔、色誘年幼妹妹暗戀的男孩一起3P、在同學會與初戀的青梅竹馬喝醉到旅館親熱、滿嘴惡言並施行邪惡調教計畫的惡女……，與外貌截然不同的反差模樣，充滿著對性愛好奇與衝動的渴望，滿滿14篇收錄著Hamao式的性愛美學異色作品！",きらきら,Kirakira,閃亮亮,ワニマガジン社 ,Hamao,Hamao,Hamao,2015-10-18,2021-01-18,https://www.dlsite.com/books/work/=/product_id/BJ065353.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=427,https://www.dlsite.com/books/work/=/product_id/BJ276731.html,https://exhentai.org/g/1042430/a637f1d954/,Guavas,新視界,
13,DAV-013,NO,"被讚譽為『COMIC快樂天的賢才』的日本頂尖成人漫畫家Hamao四本個人單行本一次推出！
《糖果雨滴》將少女魔性蜜汁包裹在甜美的糖衣中灑落成整片的糖果雨
在城市中擦肩而過的女性、萍水相逢的女子、認識已久的青梅竹馬
無論是相戀、偶遇或是意外的超展開，少女們大膽奔放地品嚐性愛的歡愉
男人們淫想的腿縫之間，或許被意淫的女生們早就已經春水蕩漾了！
《糖果雨滴》收錄了Hamao 2015年至2016年兩年間共計12篇短篇成人作品
封面書衣以五色印刷，雙書衣包裝，完整保留日文原版封面的感覺
特別推出無修正版本，可一覽無遺每位女孩讓人臉紅心跳的情愛畫面
※本書為18禁限制級內容，18歲以下不宜閱讀與購買

婚前男子們的性解放意外與未婚妻的妹妹偶遇、瞞著他人秘密進行臉紅心跳的禁忌老少戀、撞見好友浪蕩模樣而意亂情迷的女子家教、彼此心心相印卻即將各奔前程的兩小無猜、與嚴厲女主管一同加班後暢飲到酒醉情迷催情的化學作用、任性賴在別人家裡的女孩產生了一段做愛做個不停的肉體關係、旅途中重病受到大家眼中的冰山美人截然不同的積極照顧、玩遊戲比賽輸了不得不進行一日角色扮演約會的兩人、獨立生活卻意外地與妹妹的朋友相戀、與店內年長的輕熟女同事約會的情色超展開、在夏日祭典與戀人開始第一次的親密接觸、在大雨中有著淡淡情愫的兩人獨處時刻……，請享受Hamao以輕巧的筆觸所描繪出來的12位順從原始欲望溢出色氣汁液的雌性！",キャンディドロップ,Candy Drop,糖果雨滴,ワニマガジン社 ,Hamao,Hamao,Hamao,2016-12-31,2021-01-18,https://www.dlsite.com/books/work/=/product_id/BJ100351.html,https://future-digi.com/index.php?route=product/product&path=70_101&product_id=428,https://www.dlsite.com/books/work/=/product_id/BJ276732.html,https://exhentai.org/g/1193680/67c737d915/,Guavas,新視界,
